"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm，|Y|<2mm),Case 3 (X<-2mm，|Y|<2mm),Case 4 (Y>2mm，|X|<2mm),Case 5 (Y<-2mm，|X|<2mm)
60500.53041676668,,,,
60500.53041724437,,,,
60500.5304145405,,,,
60500.53041516221,,,,
60500.53041558048,,,,
60500.53041864624,,,,
60500.530415508045,,,,
60500.53041581591,,,,
60500.53041618637,,,,
60500.53041654112,,,,
60500.530417104324,,,,
60500.53041742873,,,,
60500.53041428299,,,,
60500.53041478892,,,,
60500.53041508389,,,,
60500.53041540487,,,,
60500.53041822976,,,,
60500.53041506108,,,,
60500.5304153584,,,,
60500.53041559801,,,,
60500.53041593089,,,,
60500.53041640665,,,,
60500.530416861555,,,,
60500.53041735287,,,,
60500.53041433271,,,,
60500.53041448933,,,,
60500.5304174881,,,,
60500.53041414366,,,,
60500.53041486467,,,,
60500.53041560879,,,,
60500.1021061664,,,,
60500.10210691163,,,,
60500.10210750604,,,,
60500.102104879064,,,,
60500.102105826874,,,,
60500.102106314516,,,,
60500.10210721464,,,,
60500.10210681145,,,,
60500.102107481616,,,,
60500.102104587364,,,,
60500.10210533875,,,,
60500.10209990578,,,,
60500.10210896321,,,,
60500.10210240928,,,,
60500.10209602222,,,,
60500.10210491458,,,,
60500.10209832533,,,,
60500.102107263374,,,,
60500.10210327332,,,,
60500.102096671835,,,,
60500.102105760845,,,,
60500.10209906892,,,,
60500.102108026564,,,,
60500.102101231154,,,,
60500.10211015778,,,,
60500.10210353562,,,,
60500.102096868075,,,,
60500.10210570022,,,,
60500.10209908301,,,,
60500.10209514951,,,,
60500.56673857925,,,,
60500.56705798465,,,,
60500.56737768774,,,,
60500.567697241895,,,,
60500.568016822195,,,,
60500.56833628873,,,,
60500.56865559517,,,,
60500.568974868416,,,,
60500.56929683027,,,,
60500.56961625391,,,,
60500.56993552973,,,,
60500.57057516062,,,,
60500.57089495933,,,,
60500.57121474769,,,,
60500.5715344685,,,,
60500.571854086236,,,,
60500.57217388473,,,,
60500.57249353634,,,,
60500.57281594243,,,,
60500.57313565003,,,,
60500.57345544791,,,,
60500.573775130266,,,,
60500.57409486658,,,,
60500.574414496725,,,,
60500.57473394831,,,,
60500.575053551554,,,,
60500.57537310249,,,,
60500.5756926255,,,,
60500.57601212576,,,,
60500.57633417868,,,,
60500.57665373296,,,,
60500.56605678728,,,,
60500.56605363997,,,,
60500.56605390037,,,,
60500.56605065594,,,,
60500.57924912627,,,,
60500.579568321155,,,,
60500.57989039636,,,,
60500.58020971904,,,,
60500.580529591985,,,,
60500.58084924551,,,,
60500.58116902181,,,,
60500.58148875645,,,,
60500.58212485349,,,,
60500.58244439337,,,,
60500.58276407132,,,,
60500.58308367655,,,,
60500.58340601585,,,,
60500.58372557188,,,,
60500.58404510576,,,,
60500.584364684575,,,,
60500.584684240544,,,,
60500.58500367966,,,,
60500.585323216415,,,,
60500.585642649545,,,,
60500.585962077734,,,,
60500.58628150333,,,,
60500.58660084705,,,,
60500.58692308718,,,,
60500.58724269671,,,,
60500.587562044515,,,,
60500.58788141492,,,,
60500.588516964766,,,,
60500.58883635333,,,,
60500.58915565047,,,,
